Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C6, C7, C8, C9",LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,8,0.1,
C5,LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,0.01,
"H1, H2",MountingHole_4mm,2,MountingHole,
J1,DIN8P-2,1,Digital RGB,
J2,DIN8P-2,1,Unused,
J3,PinHeader_1x01_P2.54mm_Vertical,1,CGSEL to PCG,
J4,PinHeader_1x01_P2.54mm_Vertical,1,~{DOTCLK},
J5,PinHeader_2x17_P2.54mm_Vertical,1,To MZ-1200,
"R1, R2, R3, R4, R5, R6, R7",LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,7,75,
R8,LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,3.9k,
U1,DIP-16_W7.62mm_Socket_LongPads,1,74HC157,
U2,DIP-20_W7.62mm_Socket_LongPads,1,74LS374,
U3,DIP-20_W7.62mm_Socket_LongPads,1,74HC373,
U4,DIP-14_W7.62mm_Socket_LongPads,1,74HC86,
U5,DIP-16_W7.62mm_Socket_LongPads,1,74LS375,
U6,DIP-24_W15.24mm_Socket_LongPads,1,6116,
U7,DIP-20_W7.62mm_Socket_LongPads,1,74HC245,
U8,DIP-14_W7.62mm_Socket_LongPads,1,74LS122,
