Designator,Mid X,Mid Y,Rotation,Layer
C1,78.79,-24.1775,270.0,top
C2,9.57,-38.1475,270.0,top
C3,24.81,-50.2125,270.0,top
C4,67.99,-41.3225,270.0,top
C5,77.6045,-54.568,0.0,top
C6,93.395,-42.5925,270.0,top
C7,26.08,-68.03,270.0,top
C8,91.485,-62.95,270.0,top
C9,3.855,-83.27,180.0,top
J1,15.5,-9.96,180.0,top
J2,39.35,-9.96,180.0,top
J3,5.125,-42.63,90.0,top
J4,43.86,-31.5556,0.0,top
J5,50.215,-78.185,90.0,top
R1,25.445,-27.39,90.0,top
R2,22.27,-27.39,90.0,top
R3,28.62,-27.39,90.0,top
R4,31.795,-27.39,90.0,top
R5,41.32,-27.4275,90.0,top
R6,38.145,-27.39,90.0,top
R7,34.97,-27.39,90.0,top
R8,85.008,-54.695,180.0,top
U1,65.455,-24.215,90.0,top
U2,31.16,-38.82,90.0,top
U3,41.315,-52.79,90.0,top
U4,56.565,-38.83,90.0,top
U5,81.34,-42.63,90.0,top
U6,12.74,-64.855,180.0,top
U7,41.315,-67.405,90.0,top
U8,80.065,-62.96,90.0,top
