Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",LargePad_R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,0.1,
"H1, H2",MountingHole_3.2mm_M3,2,MountingHole,
J1,DIP-40_W15.24mm_Socket_LongPads,1,Z80CPU-Socket,
J2,PinHeader_1x01_P2.54mm_Vertical,1,4M,
J3,PinHeader_1x01_P2.54mm_Vertical,1,MOTOR,
J4,PinSocket_2x13_P2.54mm_Vertical_LargePad,1,To PCG Mainboard,
J5,PinHeader_1x01_P2.54mm_Vertical,1,~{RAMCLK},
J6,PinHeader_1x01_P2.54mm_Vertical,1,~{IORAMEN},
"R1, R4",LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2,10k,
"R2, R3",LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2,47,
SW1,PinSocket_1x03_P2.54mm_Vertical,1,Clock Select,
U1,DIP-40_W15.24mm_Socket_LongPads,1,Z80CPU,
U2,DIP-20_W7.62mm_Socket_LongPads,1,GAL16V8,
U3,DIP-24_W7.62mm_Socket_LongPads,1,GAL22V10,
"U4, U5, U6",DIP-20_W7.62mm_Socket_LongPads,3,74HC273,
