Designator,Mid X,Mid Y,Rotation,Layer
C1,72.065,5.09,0.0,top
C2,35.235,25.41,0.0,top
C3,69.525,65.415,0.0,top
C4,49.205,25.41,0.0,top
C5,21.265,25.41,0.0,top
C6,7.93,25.41,0.0,top
J1,75.88,35.575,0.0,top
J2,46.665,16.52,270.0,top
J3,22.535,4.455,270.0,top
J4,37.79,76.865,270.0,top
J5,86.035,74.94,0.0,top
J6,86.035,5.725,0.0,top
R1,21.9,8.9,180.0,top
R2,51.7075,16.52,0.0,top
R3,62.54,6.995,0.0,top
R4,80.9175,5.725,0.0,top
SW1,12.39,4.48,270.0,top
U1,69.53,35.575,0.0,top
U2,45.4,8.91,270.0,top
U3,49.215,45.735,180.0,top
U4,35.245,43.185,180.0,top
U5,21.275,43.185,180.0,top
U6,7.94,43.185,180.0,top
