Designator,Footprint,Quantity,Value,LCSC Part #
C1,LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,100p,
C2,LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,0.1,
C3,LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,1u,
"D1, D2, D3, D4",D_A-405_P7.62mm_Horizontal_LargePad,4,SB240LES,
D5,D_A-405_P10.16mm_Horizontal,1,SB240LES,
"H1, H2, H3",MountingHole_3.2mm_M3,3,MountingHole,
J1,PinHeader_1x20_P2.54mm_Vertical,1,For KB,
J2,USB_A_CONNFLY_DS1095-WNR0_LongPad,1,USB_A,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Power,
J4,Pin_D1.1mm_L8.5mm_W2.5mm_FlatFork,1,To Reset,
J5,PinHeader_1x20_P2.54mm_Vertical,1,For internal KB,
J6,PinHeader_1x01_P2.54mm_Vertical,1,CG Select,
J7,PinHeader_1x04_P2.54mm_Vertical,1,ROM select,
J8,PinHeader_1x02_P2.54mm_Vertical,1,To MOTOR / Clock SW,
"Q1, Q2, Q4",TO-92S_Wide_kao,3,C1815,
Q3,2-7J2B_Vertical,1,2SJ681,
"R1, R10, R7",LargePad_R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,10K,
"R2, R6, R8",LargePad_R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,1K,
"R3, R4",LargePad_R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,27,
R5,LargePad_R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100K,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1K,
SW1,SW_Tactile_Straight_LargePad,1,Reset,
U1,DIP-40_W15.24mm_Socket_LongPads,1,MT8812AE,
U2,raspberry_pi_pico_THT_kao,1,Pico,
U3,DIP-12_W10.16mm_LongPads,1,sparkfun Logic_Level_Bidirectional,
