Designator,Mid X,Mid Y,Rotation,Layer
C1,69.3393,80.5657,270.0,top
C2,14.755707,25.842507,270.0,top
C3,76.9218,82.4707,0.0,top
D1,21.08,80.5657,180.0,top
D2,21.0793,72.9457,0.0,top
D3,21.0793,76.7557,0.0,top
D4,74.4193,30.2097,90.0,top
D5,9.675707,34.695007,0.0,top
J1,46.4743,6.7147,90.0,top
J2,46.5,78.5618,180.0,top
J3,14.73,18.180007,0.0,top
J4,78.23,22.78,0.0,top
J5,46.4743,14.5257,90.0,top
J6,3.7293,71.4867,0.0,top
J7,3.7293,61.3347,0.0,top
J8,3.960707,24.530007,0.0,top
Q1,77.8293,38.6807,90.0,top
Q2,68.9393,74.2157,90.0,top
Q3,60.4493,73.0957,0.0,top
Q4,4.360707,16.255007,270.0,top
R1,78.2293,50.0857,270.0,top
R10,10.945707,12.470007,0.0,top
R2,78.2293,61.5157,270.0,top
R3,31.8743,80.5657,0.0,top
R4,31.8743,74.065007,0.0,top
R5,61.7193,81.8357,0.0,top
R6,61.7193,78.0257,0.0,top
R7,74.4193,75.2947,270.0,top
R8,78.2293,75.2947,90.0,top
R9,9.675707,30.885007,180.0,top
SW1,14.7293,41.8307,270.0,top
U1,46.5,30.2543,90.0,top
U2,46.023207,56.295007,90.0,top
U3,12.1843,58.7847,180.0,top
