Designator,Mid X,Mid Y,Rotation,Layer
BT1,91.044,21.105,270.0,top
C1,54.9975,66.11,180.0,top
C10,54.9975,11.5,180.0,top
C2,39.7575,60.395,180.0,top
C3,72.7785,52.775,180.0,top
C4,72.7025,80.08,0.0,top
C5,39.72,68.688606,270.0,top
C6,90.2575,18.542,90.0,top
C7,42.2225,23.438,0.0,top
C8,42.2225,18.993,0.0,top
C9,72.7775,3.245,180.0,top
D1,90.52,36.83,0.0,top
D2,90.52,40.894,0.0,top
D3,90.52,44.704,0.0,top
J1,13.031,43.28,0.0,top
J2,28.27,43.28,0.0,top
J3,48.84,80.65,0.0,top
J4,38.72,80.65,0.0,top
R1,84.169,81.35,0.0,top
R2,42.2225,13.745,0.0,top
R3,42.2225,9.595,0.0,top
R4,56.865,74.365,0.0,top
SW1,85.454,6.42,270.0,top
SW2,61.325,80.08,270.0,top
U1,54.95,53.4,0.0,top
U2,39.71,44.915,0.0,top
U3,72.741,66.11,270.0,top
U4,72.731,40.065,0.0,top
U5,90.51,64.195,0.0,top
U6,54.949,24.19,0.0,top
U7,72.731,15.935,0.0,top
