Designator,Mid X,Mid Y,Rotation,Layer
C1,107.95,84.0225,90.0,top
C10,53.355,14.2525,270.0,top
C11,82.55,101.2425,270.0,top
C12,165.1,68.2225,270.0,top
C13,71.7544,35.8375,270.0,top
C14,104.14,36.4775,270.0,top
C15,104.14,51.5175,270.0,top
C2,100.9275,92.315,0.0,top
C3,105.41,88.5425,270.0,top
C4,111.76,97.24,270.0,top
C5,86.3225,76.59,0.0,top
C6,45.4434,76.59,0.0,top
C7,101.932,67.9375,270.0,top
C8,7.848,36.779,270.0,top
C9,39.715,35.91,270.0,top
J1,47.503,96.257,90.0,top
J2,17.13,103.745,90.0,top
J3,136.54,97.415,270.0,top
R1,78.74,98.03,90.0,top
R2,70.485,98.03,90.0,top
R3,151.765,16.115,270.0,top
R4,156.845,16.115,270.0,top
R5,100.965,82.79,0.0,top
R6,93.345,92.315,0.0,top
R7,98.425,87.235,0.0,top
RN1,130.825,19.29,0.0,top
SW1,154.305,7.479,270.0,top
SW2,132.09,10.39,90.0,top
U1,74.93,61.25,90.0,top
U10,115.575,51.39,90.0,top
U11,116.85,36.39,90.0,top
U2,34.03,61.28,90.0,top
U3,94.615,101.205,90.0,top
U4,76.215,14.215,90.0,top
U5,153.162,68.185,90.0,top
U6,120.225,67.89,90.0,top
U7,84.81,35.89,90.0,top
U8,20.04,35.89,90.0,top
U9,52.425,35.9,90.0,top
