Designator,Footprint,Quantity,Value,LCSC Part #
C1,LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,330p,
"C10, C11, C12, C13, C14, C15, C16, C4, C5, C6, C7, C8, C9",LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,13,0.1,
C17,LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,220p,
C2,LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,100p,
C3,CP_Radial_D8.0mm_P3.50mm,1,100u,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole_M3,
J1,PinSocket_2x13_P2.54mm_Vertical_LargePad,1,To PCG Subboard,
J2,DIP-24_W15.24mm_Socket_LongPads,1,To CGROM 2732,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Ex FONT SELECT,
"R1, R2, R4",LargePad_R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,1k,
"R3, R5",LargePad_R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10k,
RN1,R_Array_SIP9,1,10k,
SW1,PinHeader_1x03_P2.54mm_Vertical,1,PCG OFF/ON/FORCE ON,
SW2,DIP-16_W7.62mm_Socket_LongPads,1,MODE/FONT SELECT,
"U1, U11, U13, U2, U4, U5",DIP-20_W7.62mm_Socket_LongPads,6,74HC245,
U10,DIP-14_W7.62mm_Socket_LongPads,1,74HC74,
U12,DIP-24_W15.24mm_Socket_LongPads,1,6116,
U3,DIP-14_W7.62mm_Socket_LongPads,1,74HC14,
"U6, U7",DIP-20_W7.62mm_Socket_LongPads,2,74HC244,
U8,DIP-28_W15.24mm_Socket_LongPads,1,27512,
U9,DIP-24_W7.62mm_Socket_LongPads,1,GAL22V10,
