Designator,Mid X,Mid Y,Rotation,Layer
C1,140.335,73.2275,90.0,top
C10,12.065,19.9625,270.0,top
C11,120.65,82.1925,270.0,top
C12,135.255,35.8375,270.0,top
C13,76.2,19.9625,270.0,top
C14,74.24,56.7925,270.0,top
C15,64.8075,38.34,180.0,top
C16,74.295,40.9175,270.0,top
C17,148.59,77.1125,270.0,top
C2,144.145,68.7825,90.0,top
C3,18.415,92.47,270.0,top
C4,76.2,93.6225,270.0,top
C5,13.97,72.6675,270.0,top
C6,13.97,56.7925,270.0,top
C7,13.97,40.88,270.0,top
C8,74.29,72.6675,270.0,top
C9,111.125,52.945,270.0,top
J1,136.54,97.288,270.0,top
J2,46.995,96.13,90.0,top
J3,17.13,103.745,90.0,top
R1,131.445,71.995,0.0,top
R2,135.89,67.55,0.0,top
R3,150.495,17.385,0.0,top
R4,144.78,82.155,90.0,top
R5,150.495,12.813,0.0,top
RN1,130.825,19.29,0.0,top
SW1,154.305,7.479,270.0,top
SW2,132.09,10.39,90.0,top
U1,29.84,56.745,90.0,top
U10,87.635,93.575,90.0,top
U11,64.77,23.1,0.0,top
U12,95.255,19.93,90.0,top
U13,151.125,35.79,90.0,top
U2,29.84,72.62,90.0,top
U3,132.715,82.155,90.0,top
U4,90.165,72.62,90.0,top
U5,90.165,56.745,90.0,top
U6,30.475,40.87,90.0,top
U7,90.165,40.87,90.0,top
U8,32.4,19.93,90.0,top
U9,128.91,52.935,90.0,top
